timeslot,channel,source,destination,weight
0,0,a_0_5,t_1_5_0,1
0,0,a_0_1,t_1_1_0,1
0,0,a_4_4,t_4_5_0,1
0,0,a_4_1,t_5_1_0,1
0,1,a_0_4,t_1_4_0,1
0,1,a_1_0,t_2_1_0,1
0,1,a_4_3,t_5_3_0,1
0,2,a_0_3,t_1_3_0,1
0,2,a_3_4,t_4_4_0,1
0,3,a_0_2,t_1_2_0,1
0,3,a_2_4,t_3_5_0,1
0,4,a_1_1,t_2_2_0,1
0,4,a_4_5,t_5_5_0,1
0,5,a_2_0,t_3_1_0,1
0,5,a_1_4,t_2_5_0,1
0,5,a_5_3,t_5_4_0,1
1,0,a_0_4,a_0_5,1
1,0,a_4_4,a_5_5,1
1,0,a_2_1,t_3_2_0,1
1,1,a_0_2,a_0_3,1
1,1,a_4_1,a_4_2,1
1,2,a_5_3,a_5_4,1
1,2,a_1_4,t_2_4_0,1
1,2,a_0_0,t_1_1_0,1
1,2,a_5_0,t_5_1_0,1
1,3,a_2_3,t_3_3_0,1
1,4,a_2_4,t_3_4_0,1
1,4,a_5_1,t_5_2_0,1
1,4,a_0_1,t_1_2_0,1
1,5,a_1_2,t_2_3_0,1
1,5,a_3_5,t_4_5_0,1
2,0,a_0_3,a_0_4,2
2,0,a_4_3,a_4_4,1
2,0,a_3_0,t_3_1_0,1
2,1,a_1_4,a_0_5,2
2,1,a_5_4,a_5_5,1
2,1,a_3_2,t_4_2_0,1
2,2,a_0_1,a_0_2,2
2,2,a_3_3,t_4_3_0,1
2,3,a_2_1,a_1_2,1
2,3,a_5_2,t_5_3_0,1
2,4,a_3_1,t_4_1_0,1
2,4,a_1_3,t_1_4_0,1
2,4,a_3_5,a_4_5,1
2,5,a_2_2,t_2_3_0,1
2,5,a_5_0,a_5_1,1
3,0,a_0_4,a_0_5,2
3,0,a_4_4,a_5_5,1
3,0,a_2_1,t_2_2_0,1
3,1,a_0_2,a_0_3,2
3,1,a_3_2,a_3_3,1
3,2,a_4_2,a_4_3,1
3,2,a_1_2,t_1_3_0,1
3,3,a_2_3,a_1_4,1
3,3,a_5_2,a_5_3,1
3,3,a_1_0,a_0_1,1
3,4,a_2_2,a_1_3,1
3,4,a_5_4,t_5_5_0,1
3,4,a_4_0,t_5_1_0,1
3,5,a_2_4,t_2_5_0,1
3,5,a_1_1,t_2_1_0,1
4,0,a_0_3,a_0_4,2
4,0,a_3_3,a_4_4,2
4,0,a_4_0,t_4_1_0,1
4,1,a_1_4,a_0_5,1
4,1,a_3_1,a_3_2,1
4,1,a_5_4,a_5_5,1
4,1,a_0_0,a_0_1,1
4,2,a_1_1,a_0_2,2
4,2,a_2_5,t_3_5_0,1
4,2,a_4_1,t_4_2_0,1
4,3,a_1_3,t_2_4_0,1
4,3,a_5_1,a_5_2,2
4,4,a_2_2,t_3_2_0,1
4,5,a_2_1,a_1_2,1
4,5,a_3_4,t_4_5_0,1
5,0,a_4_4,a_5_5,2
5,0,a_0_4,a_0_5,2
5,0,a_2_0,a_1_1,1
5,1,a_0_2,a_0_3,2
5,1,a_3_2,a_3_3,1
5,2,a_4_1,a_4_2,1
5,2,a_2_4,a_1_4,3
5,2,a_1_0,t_1_1_0,1
5,3,a_5_3,a_5_4,1
5,3,a_2_2,a_1_3,1
5,4,a_2_3,t_3_4_0,1
5,5,a_3_0,a_3_1,1
5,5,a_1_5,t_2_5_0,1
6,0,a_0_3,a_0_4,2
6,0,a_4_3,a_4_4,1
6,0,a_2_0,t_2_1_0,1
6,1,a_1_4,a_0_5,3
6,1,a_3_1,a_3_2,1
6,1,a_5_4,a_5_5,1
6,2,a_0_1,a_0_2,2
6,2,a_3_3,t_4_4_0,1
6,3,a_2_2,t_3_3_0,1
6,4,a_4_2,t_4_3_0,1
6,4,a_2_5,a_1_5,1
6,5,a_4_1,t_5_2_0,1
6,5,a_1_1,t_1_2_0,1
7,0,a_4_4,a_5_5,1
7,0,a_0_4,a_0_5,2
7,0,a_4_0,a_4_1,2
7,0,a_1_0,a_0_1,1
7,1,a_0_2,a_0_3,2
7,1,a_4_2,a_4_3,2
7,2,a_3_2,a_3_3,1
7,3,a_1_4,t_1_5_0,1
7,3,a_5_2,a_5_3,2
7,3,a_2_1,t_3_1_0,1
7,4,a_2_3,t_2_4_0,1
7,5,a_1_2,t_2_2_0,1
8,0,a_0_3,a_0_4,2
8,0,a_3_3,a_4_4,3
8,0,a_3_0,t_4_1_0,1
8,1,a_4_1,a_4_2,3
8,1,a_1_4,a_0_5,1
8,1,a_4_5,a_5_5,2
8,2,a_1_1,a_0_2,2
8,2,a_4_3,t_5_4_0,1
8,3,a_5_3,a_5_4,2
8,3,a_3_1,t_3_2_0,1
8,4,a_3_4,t_3_5_0,1
8,5,a_3_2,t_3_3_0,1
9,0,a_4_4,a_5_5,3
9,0,a_0_4,a_0_5,2
9,0,a_2_0,a_1_1,1
9,1,a_1_2,a_0_3,5
9,1,a_4_2,a_4_3,3
9,2,a_3_2,a_3_3,1
9,3,a_2_3,a_1_4,2
9,4,a_0_2,t_1_3_0,1
9,5,a_1_3,t_2_3_0,1
10,0,a_0_3,a_0_4,5
10,0,a_4_3,a_4_4,5
10,1,a_3_1,a_3_2,1
10,1,a_1_4,a_0_5,2
10,1,a_5_4,a_5_5,2
10,2,a_2_2,a_1_3,1
10,3,a_0_1,a_0_2,1
10,3,a_4_2,t_5_2_0,1
10,4,a_2_1,a_1_2,1
10,5,a_3_3,t_3_4_0,1
11,0,a_4_4,a_5_5,5
11,0,a_0_4,a_0_5,5
11,0,a_3_1,t_4_2_0,1
11,1,a_0_2,a_0_3,4
11,1,a_3_2,a_3_3,1
11,2,a_4_2,a_4_3,1
12,0,a_0_3,a_0_4,4
12,0,a_3_3,a_4_4,3
12,1,a_1_5,a_0_5,2
12,1,a_3_1,a_3_2,1
12,2,a_1_1,a_0_2,1
12,2,a_4_3,t_4_4_0,1
12,3,a_4_2,t_5_3_0,1
13,0,a_4_4,a_5_5,3
13,0,a_0_4,a_0_5,4
13,0,a_3_0,a_3_1,1
13,1,a_3_2,a_3_3,1
13,2,a_4_2,a_4_3,1
13,2,a_0_3,t_1_4_0,1
14,0,a_1_3,a_0_4,5
14,0,a_4_3,a_4_4,4
14,1,a_3_2,t_4_3_0,1
14,1,a_0_2,a_0_3,1
15,0,a_4_4,a_5_5,4
15,0,a_0_4,a_0_5,5
15,1,a_3_2,a_3_3,1
15,2,a_1_2,a_0_3,1
16,0,a_3_3,a_4_4,2
16,0,a_0_3,a_0_4,3
16,1,a_3_1,a_3_2,1
17,0,a_4_4,a_5_5,2
17,0,a_0_4,a_0_5,3
17,1,a_3_2,a_3_3,1
18,0,a_3_4,a_4_4,3
18,0,a_0_4,t_1_5_0,1
19,0,a_4_4,a_5_5,3
19,0,a_0_4,a_0_5,1
20,0,a_4_4,t_5_4_0,1
20,0,a_1_3,a_0_4,1
21,0,a_4_4,a_5_5,1
21,0,a_0_4,a_0_5,1
22,0,a_4_4,t_5_5_0,1
23,0,a_4_4,a_5_5,1
24,0,a_3_3,a_4_4,1
25,0,a_4_4,a_5_5,1
